"","data","municipio","estado","bioma","avg_numero_dias_sem_chuva","avg_precipitacao","avg_risco_fogo","avg_frp"
"1","2024-01-01","VALE DO ANARI","RONDÔNIA","Amazônia",0,1698,0,13
"2","2024-01-01","SÃO GABRIEL DA CACHOEIRA","AMAZONAS","Amazônia",0.2,206.8,0,81.4
"3","2024-01-01","MANAQUIRI","AMAZONAS","Amazônia",0,60,0,27
"4","2024-01-01","JUTAÍ","AMAZONAS","Amazônia",2,776,0,211
"5","2024-01-01","AUTAZES","AMAZONAS","Amazônia",0,2.22,0,97.67
"6","2024-01-01","IRANDUBA","AMAZONAS","Amazônia",0,0,0,55.5
"7","2024-01-01","CAREIRO DA VÁRZEA","AMAZONAS","Amazônia",0,68,0,25
"8","2024-01-01","SÃO LUIZ","RORAIMA","Amazônia",0,0,18,1311.8
"9","2024-01-01","BOA VISTA","RORAIMA","Amazônia",7.84,0,100,79.67
"10","2024-01-01","NORMANDIA","RORAIMA","Amazônia",5.44,0,100,100.78
"11","2024-01-01","BONFIM","RORAIMA","Amazônia",6,0,96.81,318
"12","2024-01-01","CANTÁ","RORAIMA","Amazônia",5.5,0,54.75,309.75
"13","2024-01-01","UIRAMUTÃ","RORAIMA","Amazônia",6,0,100,52
"14","2024-01-01","PACARAIMA","RORAIMA","Amazônia",5.64,0,98.26,328.89
"15","2024-01-01","CARACARAÍ","RORAIMA","Amazônia",2.13,0,61.8,54.4
"16","2024-01-01","RORAINÓPOLIS","RORAIMA","Amazônia",1.92,0,20.54,785.42
"17","2024-01-01","CAROEBE","RORAIMA","Amazônia",0,0,10.14,454.84
"18","2024-01-01","SÃO JOÃO DA BALIZA","RORAIMA","Amazônia",2,0,10,183
"19","2024-01-01","IRACEMA","RORAIMA","Amazônia",3.6,0,50.4,333.2
"20","2024-01-01","AMAJARI","RORAIMA","Amazônia",4.65,32.23,92.78,628.15
"21","2024-01-01","ALTO ALEGRE","RORAIMA","Amazônia",6,0,100,14
"22","2024-01-01","MUCAJAÍ","RORAIMA","Amazônia",6,0,72,11
"23","2024-01-01","ORIXIMINÁ","PARÁ","Amazônia",6,0,100,593
"24","2024-01-01","BRASIL NOVO","PARÁ","Amazônia",0,0,0,44.2
"25","2024-01-01","ULIANÓPOLIS","PARÁ","Amazônia",1,805,0,21.5
"26","2024-01-01","MONTE ALEGRE","PARÁ","Amazônia",0,14.38,13.75,182.19
"27","2024-01-01","NOVO REPARTIMENTO","PARÁ","Amazônia",0,123.2,6.3,63.4
"28","2024-01-01","URUARÁ","PARÁ","Amazônia",0.02,247.18,4.39,145.35
"29","2024-01-01","FLORESTA DO ARAGUAIA","PARÁ","Amazônia",0,200,0,53
"30","2024-01-01","AVEIRO","PARÁ","Amazônia",0,1257,0,52.4
"31","2024-01-01","ÓBIDOS","PARÁ","Amazônia",1.57,18.57,27.29,491.52
"32","2024-01-01","ALMEIRIM","PARÁ","Amazônia",0,0,6,1265.57
"33","2024-01-01","PIÇARRA","PARÁ","Amazônia",0,892.67,7.67,124.17
"34","2024-01-01","PLACAS","PARÁ","Amazônia",1,1248,1,35
"35","2024-01-01","CURUÁ","PARÁ","Amazônia",0,305,0,57.5
"36","2024-01-01","JURUTI","PARÁ","Amazônia",0.2,8,0.2,72.4
"37","2024-01-01","ALTAMIRA","PARÁ","Amazônia",0,39.5,0,37.5
"38","2024-01-01","ANAPU","PARÁ","Amazônia",0,165,0,24
"39","2024-01-01","MEDICILÂNDIA","PARÁ","Amazônia",0.08,2.5,16.75,90
"40","2024-01-01","CANAÃ DOS CARAJÁS","PARÁ","Amazônia",0,2115,0,60
"41","2024-01-01","MARABÁ","PARÁ","Amazônia",0.83,472.83,10.5,118.5
"42","2024-01-01","VISEU","PARÁ","Amazônia",0,1740,0,36
"43","2024-01-01","PRAINHA","PARÁ","Amazônia",0,0,14.07,103.73
"44","2024-01-01","ITUPIRANGA","PARÁ","Amazônia",0.43,107.71,30,45.57
"45","2024-01-01","DOM ELISEU","PARÁ","Amazônia",0,1683.5,0,52.5
"46","2024-01-01","MOJUÍ DOS CAMPOS","PARÁ","Amazônia",0.25,67.5,4.25,94.25
